EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],u_sdss,g_sdss,r_sdss,i_sdss,z_sdss,phase
1013,9.39,1.5898441396499712,1.5360900415576026,3.4911259148313074,-0.08244659519121307,3.6260864445462477,0.01,0.069633,3.634017,1.300733,-0.188092,-2.577825,-3.821446,5.0
1014,9.39,1.5898441524965436,1.5360536205790338,3.491466736723484,-0.07828570175326519,3.623278467899845,0.01,0.069633,3.634719,1.288782,-0.19724,-2.58176,-3.821291,5.0
1015,9.39,1.5898441671026815,1.5360185549228247,3.491708985833045,-0.07495614707394467,3.620907918030965,0.01,0.069633,3.635845,1.281146,-0.202872,-2.583629,-3.82025,5.0
1016,9.39,1.5898441887433354,1.5359714415980275,3.4918244644486007,-0.0721952470430566,3.6185954877784496,0.01,0.069634,3.638294,1.280128,-0.202846,-2.581665,-3.816879,5.0
1017,9.39,1.5898442217726636,1.5358009333530662,3.492514514560394,-0.06283879619221941,3.6119503853454926,0.01,0.069634,3.641497,1.258386,-0.218985,-2.587056,-3.814009,5.0
1018,9.39,1.5898442826217662,1.535670502573848,3.492005700408264,-0.07014117248500917,3.6171802756917972,0.01,0.069634,3.638655,1.273689,-0.207836,-2.583886,-3.816936,5.0
1019,9.39,1.5898443666200248,1.5355162821711155,3.4928364794995477,-0.059252188852033844,3.6095706417902544,0.01,0.069633,3.641935,1.246753,-0.22811,-2.591231,-3.814352,5.0
1020,9.39,1.5898444248778687,1.5353720013639887,3.495390719155976,-0.02747762870202366,3.5879727214453196,0.01,0.069633,3.650227,1.162575,-0.293124,-2.616065,-3.808973,5.0
1021,9.39,1.5898444857852225,1.5352863134322399,3.4980943717830097,0.006293936304810871,3.5649916626262335,0.01,0.069634,3.66048,1.078278,-0.359333,-2.63851,-3.799865,5.0
1022,9.39,1.5898445706908366,1.5351770511818053,3.5009976497209685,0.042417696793777764,3.5404503589494256,0.01,0.069633,3.670225,0.990442,-0.431269,-2.660207,-3.787697,5.0
1023,9.39,1.5898446798356647,1.5350985603218978,3.5040437973917316,0.08091902190116643,3.5141115629912956,0.01,0.069634,3.677455,0.90604,-0.503839,-2.676127,-3.768749,5.0
1024,9.39,1.5898447970274603,1.535033080848466,3.507073371851451,0.1193996921660629,3.48773085604813,0.01,0.069633,3.681098,0.827682,-0.576744,-2.686489,-3.744726,5.0
1025,9.39,1.589844926714334,1.5349670403137599,3.5102587361855666,0.15979211587364175,3.4600615671489954,0.01,0.069635,3.683375,0.742307,-0.664662,-2.696589,-3.71743,5.0
1026,9.39,1.5898450792550156,1.5349051920267385,3.512790046078642,0.19254955772086838,3.4374122685493935,0.01,0.069635,3.685514,0.673865,-0.739986,-2.702543,-3.692875,5.0
1027,9.39,1.5898452513019048,1.5348361939099033,3.51446551908293,0.2138079567362073,3.4228370447087006,0.01,0.069635,3.685828,0.626657,-0.793695,-2.707345,-3.677167,5.0
